loan_type,loan_amount,action_taken,occupancy_type,census_tract,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,co_applicant_race_2,applicant_sex,co_applicant_sex,applicant_age,co_applicant_age,income,lien_status,applicant_credit_score_type,co_applicant_credit_score_type,origination_charges,discount_points,lender_credits,interest_rate,debt_to_income_ratio,combined_loan_to_value_ratio,loan_term,property_value,manufactured_home_secured_property_type,total_units,aus_1,reverse_mortgage,open_end_line_of_credit,manufactured_home_land_property_interest,total_loan_costs,total_points_and_fees,prepayment_penalty_term,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,multifamily_affordable_units,"('applicant_race_2',)","('co_applicant_race_2',)"
1,355000,5,1,6037480804,2,5,5,0,8,0,2,5,3,6,56,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,155000,5,1,12069031102,2,5,5,0,8,0,2,5,4,6,48,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,235000,1,1,6067009106,2,5,2,0,8,0,1,5,0,6,95,1,1,10,22,28,0,11,17,42,14,37,3,1,6,2,2,5,231,0,0,2,2,2,2,0,0,6
1,385000,1,1,6059021923,2,5,5,0,8,0,2,5,0,6,73,1,2,10,0,0,0,12,3,126,14,43,3,1,6,2,2,5,130,0,0,2,2,2,2,0,0,6
2,375000,1,1,53061052906,2,5,5,0,8,0,1,5,1,6,93,1,1,10,0,0,0,11,16,118,14,43,3,1,6,2,2,5,648,0,0,2,2,2,2,0,0,6
3,1085000,4,1,51059432702,2,2,3,0,3,0,1,2,3,3,112,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,495000,4,1,45075011000,2,2,3,0,3,0,1,2,3,3,21,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,105000,4,1,39035131103,2,2,5,0,5,0,2,1,4,4,84,1,9,9,0,0,0,0,19,0,1,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,85000,4,1,26163569300,2,2,5,0,5,0,2,1,3,4,43,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,155000,4,1,12011060121,3,5,6,0,8,0,3,5,2,6,34,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
3,165000,1,1,45013002102,2,5,5,0,8,0,2,5,0,6,0,1,1,10,1,0,24,11,17,0,14,0,3,1,6,2,2,5,2,0,0,2,2,2,2,0,0,6
2,355000,1,1,42017105801,2,2,5,0,5,0,1,2,2,2,129,1,1,3,31,0,0,11,10,136,14,38,3,1,1,2,2,5,671,0,0,2,2,2,2,0,0,6
3,205000,3,1,42017101808,2,2,5,0,5,0,1,2,7,4,59,1,9,3,0,0,0,0,1,169,14,16,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,275000,1,1,51087200119,2,2,5,0,5,0,1,2,2,3,64,1,1,1,92,69,0,11,1,93,14,33,3,1,2,2,2,5,622,0,0,2,2,2,2,0,0,6
3,315000,1,1,37183052807,2,5,5,0,8,0,1,5,4,6,0,1,3,10,1,0,37,11,17,0,14,0,3,1,6,2,2,5,10,0,0,2,2,2,2,0,0,6
1,185000,1,1,12081002003,2,5,5,0,8,0,2,5,1,6,76,1,3,10,17,0,17,11,0,140,7,17,3,1,1,2,2,5,47,0,0,2,2,2,2,0,0,6
3,365000,1,1,45079002400,2,2,5,0,5,0,1,2,1,1,0,1,2,1,1,0,27,11,17,0,10,0,3,1,6,2,2,5,5,0,0,2,2,2,2,0,0,6
2,75000,5,1,39151700700,2,2,3,0,3,0,1,2,2,1,52,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,325000,1,1,47037018804,1,5,6,0,8,0,1,5,1,6,100,1,2,10,24,3,0,24,1,118,14,37,3,1,1,2,2,5,417,0,0,2,2,2,2,0,0,6
1,145000,1,1,39005970300,2,2,5,0,5,0,2,1,1,1,114,1,3,1,69,45,0,12,0,80,7,17,3,1,1,2,2,5,482,0,0,2,2,2,2,0,0,6
1,215000,1,1,48439106510,2,5,5,0,8,0,1,5,1,6,67,1,2,10,25,4,0,5,1,118,5,23,3,1,1,2,2,5,357,0,0,2,2,2,2,0,0,6
1,375000,1,1,6071007904,2,5,5,0,8,0,1,5,2,6,125,1,3,10,66,40,0,12,1,99,14,47,3,1,1,2,2,5,452,0,0,2,2,2,2,0,0,6
1,205000,3,3,34017000700,2,5,3,0,8,0,1,5,1,6,145,1,9,10,0,0,0,0,16,43,7,32,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,85000,1,1,47009011501,2,5,1,2,8,0,2,5,2,6,47,1,2,10,21,0,0,9,0,8,5,19,3,1,2,2,2,5,250,0,0,2,2,2,2,0,2,6
2,55000,1,1,22119031700,2,2,3,0,3,0,1,2,4,8,30,1,3,3,31,0,22,17,16,135,14,3,3,1,1,2,2,5,436,0,0,2,2,2,2,0,0,6
2,85000,1,1,45065920300,2,5,5,0,8,0,1,5,2,6,45,1,3,10,31,0,21,11,0,123,14,7,3,1,1,2,2,5,483,0,0,2,2,2,2,0,0,6
1,225000,1,1,8035014115,2,5,5,0,8,0,2,5,4,6,39,1,1,10,26,5,0,11,9,34,13,36,3,1,1,2,2,5,183,0,0,2,2,2,2,0,0,6
1,325000,1,1,6071007403,1,1,5,0,5,0,2,1,3,3,194,1,2,3,87,63,0,17,0,144,14,32,3,1,1,2,2,5,563,0,0,2,2,2,2,0,0,6
1,375000,1,1,47149040808,2,5,3,0,8,0,1,5,1,6,87,1,3,10,93,72,0,14,9,84,10,48,3,1,1,2,2,5,666,0,0,2,2,2,2,0,0,6
2,245000,1,1,37019020306,2,5,5,0,8,0,2,5,3,6,49,1,1,10,31,0,38,11,1,121,14,26,3,1,1,2,2,5,626,0,0,2,2,2,2,0,0,6
3,425000,1,1,12019031200,2,2,5,0,5,0,1,2,1,2,183,1,2,1,32,0,0,11,16,154,14,41,3,1,1,2,2,5,706,0,0,2,2,2,2,0,0,6
1,165000,1,1,37021003203,2,5,5,0,8,0,1,5,4,6,19,1,3,10,58,33,0,16,9,118,14,17,3,1,1,2,2,5,448,0,0,2,2,2,2,0,0,6
3,265000,1,1,47147080402,2,2,5,0,5,0,1,2,4,4,39,1,3,3,32,0,41,10,7,151,14,25,3,1,1,2,2,5,679,0,0,2,2,2,2,0,0,6
1,155000,3,1,6065043291,2,5,5,0,8,0,2,5,4,6,6,1,9,10,0,0,0,0,18,53,7,19,2,1,1,2,2,1,0,0,0,2,2,2,2,0,0,6
3,155000,1,1,12103023000,2,5,5,0,8,0,1,5,2,6,43,1,1,10,52,17,0,11,1,134,10,15,3,1,1,2,2,5,645,0,0,2,2,2,2,0,0,6
1,115000,1,3,12097042900,2,5,5,0,8,0,1,5,2,6,90,1,1,10,47,19,10,14,4,27,7,18,3,1,1,2,2,5,379,0,0,2,2,2,2,0,0,6
1,185000,4,1,4027011104,2,2,5,0,5,0,1,2,4,3,77,1,9,9,0,0,0,0,19,0,7,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,95000,2,1,37051001601,2,5,5,0,8,0,2,5,3,6,66,1,3,10,0,0,0,10,0,67,7,10,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,295000,1,1,39035172103,2,5,1,0,8,0,1,5,1,6,85,1,2,10,31,0,0,9,16,149,14,29,3,1,1,2,2,5,638,0,0,2,2,2,2,0,0,6
1,305000,1,1,12009069901,2,2,5,0,5,0,1,2,3,3,184,1,2,1,81,57,0,9,0,107,14,36,3,1,1,2,2,5,538,0,0,2,2,2,2,0,0,6
1,265000,1,1,22089062301,2,5,5,0,8,0,2,5,2,6,127,1,3,10,61,35,0,9,1,86,7,32,3,1,1,2,2,5,466,0,0,2,2,2,2,0,0,6
3,305000,1,1,8019014900,2,5,5,0,8,0,1,5,2,6,0,1,2,10,1,0,36,10,17,0,14,0,3,1,6,2,2,5,186,0,0,2,2,2,2,0,0,6
1,165000,1,1,47157020642,2,5,5,0,8,0,2,5,2,6,51,1,1,10,60,34,3,9,5,60,14,22,3,1,1,2,2,5,344,0,0,2,2,2,2,0,0,6
1,235000,1,1,53011040201,2,5,5,0,8,0,2,5,3,6,87,1,2,10,21,0,0,9,2,95,14,28,3,1,1,2,2,5,106,0,0,2,2,2,2,0,0,6
3,235000,1,1,8005080300,2,5,5,0,8,0,1,5,4,6,0,1,1,10,1,0,0,11,17,0,14,0,3,1,6,2,2,5,76,0,0,2,2,2,2,0,0,6
1,265000,1,1,24031701101,1,5,5,0,8,0,2,5,3,6,112,1,2,10,21,0,7,7,0,28,2,47,3,1,1,2,2,5,239,0,0,2,2,2,2,0,0,6
3,205000,1,1,45083022700,2,5,5,0,8,0,1,5,1,6,0,1,3,10,1,0,18,17,17,0,14,0,3,1,6,2,2,5,4,0,0,2,2,2,2,0,0,6
